วันที่,จำนวนคนตาย,จำนวนคนบาดเจ็บ,,,,,,,,,,,,,,,,,
2016-04-18,38,2237,,,,,,,,,,,,,,,,,
2016-04-19,25,1929,,,,,,,,,,,,,,,,,
2016-04-20,33,1890,,,,,,,,,,,,,,,,,
2016-04-21,18,1768,,,,,,,,,,,,,,,,,
2016-04-22,14,1668,,,,,,,,,,,,,,,,,
2016-04-23,16,1241,,,,,,,,,,,,,,,,,
2016-04-24,10,1380,,,,,,,,,,,,,,,,,
2016-04-25,26,2312,,,,,,,,,,,,,,,,,
2016-04-26,35,1882,,,,,,,,,,,,,,,,,
2016-04-27,41,1815,,,,,,,,,,,,,,,,,
2016-04-28,34,1949,,,,,,,,,,,,,,,,,
2016-04-29,21,1958,,,,,,,,,,,,,,,,,
2016-04-30,17,1573,,,,,,,,,,,,,,,,,
2016-05-01,17,1457,,,,,,,,,,,,,,,,,
2016-05-02,8,1938,,,,,,,,,,,,,,,,,
2016-05-03,41,2083,,,,,,,,,,,,,,,,,
2016-05-04,31,1965,,,,,,,,,,,,,,,,,
2016-05-05,16,1413,,,,,,,,,,,,,,,,,
2016-05-06,15,1606,,,,,,,,,,,,,,,,,
2016-05-07,13,1702,,,,,,,,,,,,,,,,,
2016-05-08,20,1392,,,,,,,,,,,,,,,,,
2016-05-09,34,1829,,,,,,,,,,,,,,,,,
2016-05-10,38,2208,,,,,,,,,,,,,,,,,
2016-05-11,28,2052,,,,,,,,,,,,,,,,,
2016-05-12,19,1895,,,,,,,,,,,,,,,,,
2016-05-13,18,2027,,,,,,,,,,,,,,,,,
2016-05-14,20,1417,,,,,,,,,,,,,,,,,
2016-05-15,13,1632,,,,,,,,,,,,,,,,,
2016-05-16,42,2469,,,,,,,,,,,,,,,,,
2016-05-17,36,2271,,,,,,,,,,,,,,,,,
2016-05-18,30,1984,,,,,,,,,,,,,,,,,
2016-05-19,21,2030,,,,,,,,,,,,,,,,,
2016-05-20,10,1358,,,,,,,,,,,,,,,,,
2016-05-21,19,1412,,,,,,,,,,,,,,,,,
2016-05-22,10,1321,,,,,,,,,,,,,,,,,
2016-05-23,41,2472,,,,,,,,,,,,,,,,,
2016-05-24,20,2003,,,,,,,,,,,,,,,,,
2016-05-25,23,1759,,,,,,,,,,,,,,,,,
2016-05-26,29,1891,,,,,,,,,,,,,,,,,
2016-05-27,29,2021,,,,,,,,,,,,,,,,,
2016-05-28,17,1663,,,,,,,,,,,,,,,,,
2016-05-29,13,1453,,,,,,,,,,,,,,,,,
2016-05-30,31,2669,,,,,,,,,,,,,,,,,
2016-05-31,29,2236,,,,,,,,,,,,,,,,,
2016-06-01,20,2134,,,,,,,,,,,,,,,,,
2016-06-02,35,2264,,,,,,,,,,,,,,,,,
2016-06-03,25,2129,,,,,,,,,,,,,,,,,
2016-06-04,18,1698,,,,,,,,,,,,,,,,,
2016-06-05,22,1725,,,,,,,,,,,,,,,,,
2016-06-06,33,2712,,,,,,,,,,,,,,,,,
2016-06-07,27,2201,,,,,,,,,,,,,,,,,
2016-06-08,20,2197,,,,,,,,,,,,,,,,,
2016-06-09,21,2131,,,,,,,,,,,,,,,,,
2016-06-10,29,2155,,,,,,,,,,,,,,,,,
2016-06-11,23,1591,,,,,,,,,,,,,,,,,
2016-06-12,13,1752,,,,,,,,,,,,,,,,,
2016-06-13,28,2602,,,,,,,,,,,,,,,,,
2016-06-14,20,2180,,,,,,,,,,,,,,,,,
2016-06-15,20,2014,,,,,,,,,,,,,,,,,
2016-06-16,24,2084,,,,,,,,,,,,,,,,,
2016-06-17,26,2151,,,,,,,,,,,,,,,,,
2016-06-18,12,1529,,,,,,,,,,,,,,,,,
2016-06-19,13,1640,,,,,,,,,,,,,,,,,
2016-06-20,45,2707,,,,,,,,,,,,,,,,,
2016-06-21,24,2054,,,,,,,,,,,,,,,,,
2016-06-22,27,2005,,,,,,,,,,,,,,,,,
2016-06-23,25,1865,,,,,,,,,,,,,,,,,
2016-06-24,28,2018,,,,,,,,,,,,,,,,,
2016-06-25,15,1426,,,,,,,,,,,,,,,,,
2016-06-26,15,1575,,,,,,,,,,,,,,,,,
2016-06-27,27,2577,,,,,,,,,,,,,,,,,
2016-06-28,21,2054,,,,,,,,,,,,,,,,,
2016-06-29,27,2060,,,,,,,,,,,,,,,,,
2016-06-30,21,2053,,,,,,,,,,,,,,,,,
2016-07-01,14,1882,,,,,,,,,,,,,,,,,
2016-07-02,19,1802,,,,,,,,,,,,,,,,,
2016-07-03,12,1667,,,,,,,,,,,,,,,,,
2016-07-04,43,2754,,,,,,,,,,,,,,,,,
2016-07-05,29,2172,,,,,,,,,,,,,,,,,
2016-07-06,22,2148,,,,,,,,,,,,,,,,,
2016-07-07,21,2042,,,,,,,,,,,,,,,,,
2016-07-08,27,2098,,,,,,,,,,,,,,,,,
2016-07-09,19,1627,,,,,,,,,,,,,,,,,
